"species"	"year"	"max_speed"
"Turdus migratorius"	2010	17.4742311818314
"Turdus migratorius"	2011	13.8962238964627
"Turdus migratorius"	2012	18.8014400625262
"Turdus migratorius"	2013	15.6772797049416
"Turdus migratorius"	2014	12.8596245929181
"Turdus migratorius"	2015	16.9146770854323
"Turdus migratorius"	2016	18.0302289850906
"Turdus migratorius"	2017	16.2796206921354
"Turdus migratorius"	2018	14.0610428128181
"Turdus migratorius"	2019	19.3823616143388
"Turdus migratorius"	2020	24.069288496289
"Turdus migratorius"	2021	22.1025556871534
"Turdus migratorius"	2022	14.3930935136312
